method,target,feature_space,split_mode,grid_config_name,split,prediction_target,count_topN,mean_absolute_error,median_absolute_error,max_absolute_error,mean_relative_error,median_relative_error,max_relative_error
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,train,CPUTime,100,42277.273856811524,33313.20458984375,244894.1494140625,1.4899879543428396,0.8664262641827395,49.3932201244213
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_elu_drop_0.3,val,CPUTime,100,18670.877507324218,14681.4775390625,67566.5546875,1.3818175173570382,0.7334954168003274,11.368929438044267
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,test,CPUTime,100,33800.62856140137,26802.784057617188,75832.99389648438,7.932886943558803,0.9398515326102167,514.5480853873239
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,train,CPUTime,100,40937.53931884766,30791.671875,248029.0546875,0.8471633660631914,0.8517963183469623,2.8465648167215813
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.2,val,CPUTime,100,20141.2401953125,16211.5283203125,68158.0107421875,2.448936889538241,0.7541442135793819,19.57984851233672
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,test,CPUTime,100,34120.80381347656,26015.60614013672,76611.50994873047,1.635136275055158,0.9615050355684271,11.95730408538054
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,train,CPUTime,100,39242.90582519531,29988.546875,245257.63525390625,1.456358801654715,0.8536610085235976,44.43141456886574
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_128_act_relu_drop_0.3,val,CPUTime,100,19348.655778503417,15978.952880859375,68030.0439453125,2.0677761600779574,0.7355203087872605,17.787158982674164
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,test,CPUTime,100,32911.70957397461,26089.492431640625,75168.26000976562,0.9115900177597535,0.9287737066313844,0.9788564009043672
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,train,CPUTime,100,41849.30789855957,32939.008056640625,244435.68310546875,1.4964599439990713,0.8593871611309369,49.639309353298614
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2,val,CPUTime,100,18419.402215270995,14972.73681640625,67112.94140625,1.4334550663665526,0.707761859803469,12.238906306694483
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,test,CPUTime,100,33271.46220214844,26225.71697998047,75374.74291992188,0.9065720265006185,0.9334028201275181,0.9791885193793164
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,train,CPUTime,100,42773.156029663085,33702.130859375,245644.65234375,1.4192738583444,0.8744394210570475,43.4444896556713
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_elu_drop_0.3,val,CPUTime,100,18741.49282180786,14661.216552734375,68291.13232421875,1.3081976724562439,0.7429993593020481,10.321745453102322
2dsa,cpu,raw,record,2dsa_arch_64_32_scaler_minmax_opt_adam_batch_64_act_relu_drop_0.2,test,CPUTime,100,34852.815633544924,27179.41766357422,76209.88354492188,12.5639412714489,0.9541868325790399,887.493232834507
