method,target,feature_space,split_mode,grid_config_name,grid_config_path,config_architecture,config_scaler,config_optimizer,config_batch_size,config_activation,config_dropout,batch_size,dropout_rate,train_mae,val_mae,test_mae,train_error_std,val_error_std,test_error_std,epochs,train_mean_error_CPUTime,train_median_error_CPUTime,train_error_std_CPUTime,train_max_error_CPUTime,train_p95_abs_error_CPUTime,val_mean_error_CPUTime,val_median_error_CPUTime,val_error_std_CPUTime,val_max_error_CPUTime,val_p95_abs_error_CPUTime,test_mean_error_CPUTime,test_median_error_CPUTime,test_error_std_CPUTime,test_max_error_CPUTime,test_p95_abs_error_CPUTime,train_mean_error_max_rss,train_median_error_max_rss,train_error_std_max_rss,train_max_error_max_rss,train_p95_abs_error_max_rss,val_mean_error_max_rss,val_median_error_max_rss,val_error_std_max_rss,val_max_error_max_rss,val_p95_abs_error_max_rss,test_mean_error_max_rss,test_median_error_max_rss,test_error_std_max_rss,test_max_error_max_rss,test_p95_abs_error_max_rss
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_elu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_elu_drop_0.3,64_32,standard_opt_adam_batch_64_act_elu_drop_0,adam_batch_64_act_elu_drop_0,64,elu_drop_0,0.3,64,0.3,26766.50893951531,31010.736250091835,107250.06320295903,61267.41177223019,59926.875604991816,319761.63455854094,21,,,,,,,,,,,,,,,,26766.50893951531,4208.884765625,61267.41177223019,1186887.390625,154640.5,31010.736250091835,8748.076171875,59926.875604991816,650261.3203125,120251.76929473848,107250.06320295903,10604.6669921875,319761.63455854094,2449500.421875,520889.6058593751
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_relu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_relu_drop_0.2,64_32,standard_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.2,64,0.2,34313.57363166368,34664.50972251256,121217.42304567804,70497.06613692071,75208.80179672016,341144.95819075947,16,,,,,,,,,,,,,,,,34313.57363166368,3944.0380859375,70497.06613692071,1209291.734375,176453.9736328125,34664.50972251256,8533.205078125,75208.80179672016,1260647.75,132525.92968749968,121217.42304567804,6925.10009765625,341144.95819075947,2572495.375,564681.2337890625
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_relu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_adam_batch_64_act_relu_drop_0.3,64_32,standard_opt_adam_batch_64_act_relu_drop_0,adam_batch_64_act_relu_drop_0,64,relu_drop_0,0.3,64,0.3,31285.864645455837,32302.067862615557,116576.64200587146,67453.01363352971,71239.48503422324,333905.8434501352,17,,,,,,,,,,,,,,,,31285.864645455837,4463.45849609375,67453.01363352971,1201700.478515625,168199.2763671875,32302.067862615557,8717.240257263184,71239.48503422324,1184538.5,127530.6187499998,116576.64200587146,10107.134765625,333905.8434501352,2532697.09375,551699.76328125
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.2,64_32,standard_opt_rmsprop_batch_128_act_elu_drop_0,rmsprop_batch_128_act_elu_drop_0,128,elu_drop_0,0.2,128,0.2,27410.65774993264,30525.47353098012,108638.02293919752,62495.918126767545,60889.57179144907,322757.6499560816,44,,,,,,,,,,,,,,,,27410.65774993264,4100.66943359375,62495.918126767545,1191894.7890625,157858.939453125,30525.47353098012,7383.296875,60889.57179144907,656877.0625,126987.41249999992,108638.02293919752,9270.92138671875,322757.6499560816,2464010.546875,529819.0175781251
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_elu_drop_0.3,64_32,standard_opt_rmsprop_batch_128_act_elu_drop_0,rmsprop_batch_128_act_elu_drop_0,128,elu_drop_0,0.3,128,0.3,27389.17867452388,31094.354536924293,108819.0489983312,62294.739780382544,61101.62209209983,321139.2083469156,43,,,,,,,,,,,,,,,,27389.17867452388,4281.102958679199,62294.739780382544,1191887.09375,157384.6982421875,31094.354536924293,7999.515625,61101.62209209983,657241.0078125,124138.8749999998,108819.0489983312,11126.6806640625,321139.2083469156,2455749.953125,528829.488671875
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.2,64_32,standard_opt_rmsprop_batch_128_act_relu_drop_0,rmsprop_batch_128_act_relu_drop_0,128,relu_drop_0,0.2,128,0.2,28588.659299632553,32198.73886221354,110867.51404033102,62393.18359128995,60550.51978091387,320060.1774091166,35,,,,,,,,,,,,,,,,28588.659299632553,6021.840240478516,62393.18359128995,1191283.1953125,158898.4384765625,32198.73886221354,11626.578125,60550.51978091387,657294.44921875,123022.32187499983,110867.51404033102,15072.037109375,320060.1774091166,2452264.40625,532716.1517578131
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_128_act_relu_drop_0.3,64_32,standard_opt_rmsprop_batch_128_act_relu_drop_0,rmsprop_batch_128_act_relu_drop_0,128,relu_drop_0,0.3,128,0.3,28242.143491648807,32105.157054511,110371.80465957342,62191.93378692253,60489.90663511227,319853.0787820609,36,,,,,,,,,,,,,,,,28242.143491648807,5691.84228515625,62191.93378692253,1190532.0546875,158230.72265625,32105.157054511,11652.44140625,60489.90663511227,655663.11328125,121173.875,110371.80465957342,14635.0166015625,319853.0787820609,2452177.96875,531339.4845703128
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.2,64_32,standard_opt_rmsprop_batch_64_act_elu_drop_0,rmsprop_batch_64_act_elu_drop_0,64,elu_drop_0,0.2,64,0.2,26826.80065043303,30734.0815822009,107763.57728817983,61937.39367695596,60723.060708871744,321075.36177050846,28,,,,,,,,,,,,,,,,26826.80065043303,4121.69921875,61937.39367695596,1187538.93359375,155413.630859375,30734.0815822009,7887.6328125,60723.060708871744,653551.0546875,123032.39218749951,107763.57728817983,9526.46728515625,321075.36177050846,2458343.234375,526726.5011718752
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.3,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_elu_drop_0.3,64_32,standard_opt_rmsprop_batch_64_act_elu_drop_0,rmsprop_batch_64_act_elu_drop_0,64,elu_drop_0,0.3,64,0.3,27226.320266937197,30467.377245591753,109351.62510404208,62781.6845920696,60975.928901331434,323809.2501689985,28,,,,,,,,,,,,,,,,27226.320266937197,4137.299842000008,62781.6845920696,1189078.0703125,156241.7080078125,30467.377245591753,7916.341125249863,60975.928901331434,656668.5859375,131641.60312499988,109351.62510404208,10057.70849609375,323809.2501689985,2475256.578125,532301.629882813
ga,memory,raw,record,ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.2,server/run_2025_12_27/results/ga/memory/raw/record/ga_arch_64_32_scaler_standard_opt_rmsprop_batch_64_act_relu_drop_0.2,64_32,standard_opt_rmsprop_batch_64_act_relu_drop_0,rmsprop_batch_64_act_relu_drop_0,64,relu_drop_0,0.2,64,0.2,28508.139888032387,32002.526719030888,111116.12881450471,62491.43841590758,60299.76829490996,321223.57178638433,25,,,,,,,,,,,,,,,,28508.139888032387,5874.333019256592,62491.43841590758,1188576.296875,157292.5751953125,32002.526719030888,11804.64453125,60299.76829490996,654397.69140625,126808.44999999995,111116.12881450471,14806.033203125,321223.57178638433,2463363.640625,531541.1863281255
