config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__512_256_128__scaler_standard_opt_adam_batch_32_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,adam,32,relu,0.3,331.4554594393303,93.70217675442352,197.07815823320053,175652.90234375,15724.12060546875,152942.66943359375,1742.9349955966736,164.846636841162,1356.4343913452758,26
2DSA_arch__256_128_64__scaler_robust_opt_adam_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,adam,32,relu,0.2,754.9722995105659,60.85875304867774,513.2386921601426,30662387.0,5593.1923828125,11280188.0,108278.5307111907,116.2713529332003,60839.59396462487,40
2DSA_arch__256_128_64__scaler_robust_opt_rmsprop_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,rmsprop,32,elu,0.3,348.5365660975305,61.08394240140256,198.424609118638,175752.1495361328,16976.045349121094,152008.72119140625,1766.6618788961391,152.9876165368323,1368.1824249714684,31
2DSA_arch__256_128_64__scaler_robust_opt_sgd_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,sgd,32,elu,0.3,349.0682809143904,53.84957710378565,186.22054522030987,176775.859375,11952.20068359375,118324.51953125,1823.324773779083,129.34102841473683,1275.848614103768,51
2DSA_arch__512_256_128__scaler_standard_opt_adam_batch_64_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,adam,64,elu,0.2,326.55147467177136,72.8281273862107,195.1677610117356,175594.3155517578,16489.729614257812,155623.71215820312,1740.2055251106788,159.12690454380112,1371.1770874725853,26
2DSA_arch__512_256_128__scaler_standard_opt_rmsprop_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,rmsprop,32,relu,0.2,339.37453130274247,65.47024151667337,191.31795217742484,176273.1552734375,17086.20458984375,155416.98754882812,1772.7069875043007,145.75848143534472,1391.463397956513,26
2DSA_arch__256_128_64__scaler_robust_opt_rmsprop_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,rmsprop,16,elu,0.3,376.49895891834495,56.16135629627468,171.75197396470602,321060.34375,9491.0419921875,97592.90625,2222.658957286173,123.63134820168632,834.0038772622697,46
2DSA_arch__256_128_64__scaler_robust_opt_sgd_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,sgd,64,relu,0.3,345.1631406329394,57.64871712301814,189.40814201805884,176621.72869873047,16712.497436523438,154617.38525390625,1787.258687067124,147.59521920148993,1407.7075970994165,41
2DSA_arch__512_256_128__scaler_standard_opt_adam_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,adam,32,elu,0.2,325.94262933643336,79.52288032854725,191.17593298364176,175312.2119140625,15517.129638671877,153364.41455078125,1733.555202197402,161.82699183204235,1351.5262097794543,26
2DSA_arch__512_256_128__scaler_standard_opt_rmsprop_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,rmsprop,32,elu,0.2,330.6576018427006,63.17310093110819,191.4417872468697,175544.6513671875,15878.176879882812,154959.80981445312,1742.444684649502,143.4251427027881,1383.4616598449036,26
2DSA_arch__512_256_128__scaler_standard_opt_sgd_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,sgd,16,elu,0.3,333.38924763901025,54.33170792275721,182.0250783359656,266256.8125,15976.437866210938,39746.7607421875,1856.779528624469,138.86383263687338,985.980957512557,33
2DSA_arch__512_256_128__scaler_minmax_opt_rmsprop_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,rmsprop,16,relu,0.2,319.7287401778188,109.46878771164604,182.1908962804397,169514.06787109375,11201.68408203125,132164.283203125,1644.4122829641842,189.9891734209322,1013.847281691106,52
2DSA_arch__512_256_128__scaler_robust_opt_adam_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,adam,64,relu,0.3,325.40062531409893,65.56903373028352,187.056811742498,174431.66162109375,15694.558349609377,137640.935546875,1706.0455799863691,144.05815575858855,1299.009031934574,34
2DSA_arch__512_256_128__scaler_robust_opt_rmsprop_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,rmsprop,16,elu,0.3,336.73479407096085,57.51095988837071,178.65295925576416,172849.86376953125,13550.6357421875,129690.0625,1706.1961334416449,130.85987895059213,1104.9027303998707,43
2DSA_arch__512_256_128__scaler_robust_opt_sgd_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,sgd,64,relu,0.3,401.0927467015118,57.30047169376885,195.61771748257476,4301055.5,16394.198608398438,156911.2762451172,15294.612560443426,145.98794277935315,1435.1754705843316,43
