config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__256_128_64__scaler_standard_opt_sgd_batch_64_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,sgd,64,elu,0.3,305.3694290928648,50.05196022055382,188.07491711290416,174018.31005859375,16977.778259277344,156162.10424804688,1645.5054541627285,145.35159760036865,1322.2351872745794,38
2DSA_arch__256_128_64__scaler_standard_opt_adam_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,adam,32,relu,0.2,292.6378943896568,50.441671233652606,184.4897114947576,166465.1435546875,12092.583984375,139469.6328125,1577.0308997184504,140.01978817811943,1109.0661384167802,34
2DSA_arch__256_128_64__scaler_standard_opt_rmsprop_batch_16_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",standard,rmsprop,16,relu,0.3,302.98685556727986,50.21184827955347,178.79308749566897,169255.1875,14428.6025390625,134773.07421875,1595.901289640906,137.87208825698937,1047.9684472961983,46
2DSA_arch__256_128_64__scaler_minmax_opt_adam_batch_64_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",minmax,adam,64,elu,0.2,314.20101193446936,52.81122179374902,174.9988020598408,174528.26098632812,16860.496643066406,153907.91162109375,1682.522328437293,142.35061278736933,1321.7785482708518,28
2DSA_arch__256_128_64__scaler_minmax_opt_rmsprop_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",minmax,rmsprop,32,relu,0.2,321.8704615051513,50.85838636469379,177.28530734370932,163825.892578125,11760.02734375,45843.6875,1864.011352062074,177.20928159430423,1010.2675454290168,39
2DSA_arch__256_128_64__scaler_minmax_opt_sgd_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",minmax,sgd,32,elu,0.3,312.7095621886206,44.82254477207674,187.60906443859247,173068.47998046875,17218.838806152344,151962.4873046875,1668.3758653442258,146.35501562630708,1289.0314255589865,68
2DSA_arch__256_128_64__scaler_robust_opt_rmsprop_batch_16_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[256, 128, 64]",robust,rmsprop,16,relu,0.3,315.66189557456977,47.99428440059821,179.38321873773694,170315.01904296875,16394.875366210938,113800.30859375,1643.1029589830125,149.26255665486025,969.2542440917396,38
2DSA_arch__512_256_128__scaler_standard_opt_adam_batch_16_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,adam,16,relu,0.3,324.94116654445185,49.47955720160868,193.1566250433532,174063.57299804688,15063.044189453123,148288.130859375,1689.333275652289,142.52084363206362,1290.269695846739,26
2DSA_arch__512_256_128__scaler_standard_opt_rmsprop_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,rmsprop,32,elu,0.3,299.1746772459921,50.15960796134307,179.71718375541303,169439.46142578125,16384.501953125,139490.21875,1603.4068857552436,143.484465287574,1138.863573668567,31
2DSA_arch__512_256_128__scaler_standard_opt_sgd_batch_64_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",standard,sgd,64,elu,0.2,289.18518805757793,51.290847438534655,174.78337005431283,172572.94287109375,15869.146362304688,145293.9296875,1588.7174572916808,141.57235160571767,1088.3866707486666,37
2DSA_arch__512_256_128__scaler_minmax_opt_adam_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,adam,32,relu,0.2,316.08702314615107,47.68316705509406,189.45361299314789,173058.44189453125,17096.61474609375,147906.9638671875,1676.8881145319435,145.37710464444507,1236.5335586521671,26
2DSA_arch__512_256_128__scaler_minmax_opt_rmsprop_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,rmsprop,32,relu,0.2,317.1820943605374,49.77433175131134,168.73237366549156,157657.373046875,9027.462890625,40145.16015625,1880.0105361850533,154.9082594225689,854.6193894435423,35
2DSA_arch__512_256_128__scaler_minmax_opt_sgd_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,sgd,32,elu,0.3,302.5253304105541,47.950385666512105,176.45848544938636,170107.041015625,15474.52197265625,121028.4765625,1607.537842447931,140.34261308692143,1059.4507824492352,39
2DSA_arch__512_256_128__scaler_robust_opt_adam_batch_64_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,adam,64,elu,0.2,289.4831287803528,48.950564900324416,172.7382646327458,171145.53564453125,15372.857666015623,129202.6015625,1583.3247191953487,139.32864397474108,1022.1030897896164,39
2DSA_arch__512_256_128__scaler_robust_opt_rmsprop_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,rmsprop,32,elu,0.3,319.6635479062034,49.9982217338293,179.4386603653273,174793.9443359375,17215.075927734375,153409.12109375,1701.562090870951,142.53521662726266,1337.2274343906154,27
2DSA_arch__512_256_128__scaler_robust_opt_sgd_batch_32_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,sgd,32,relu,0.2,352.4530362234262,46.72375962757245,185.71084924267456,176869.5757446289,16988.822021484375,155226.43505859375,1792.582062405811,143.78862891742384,1414.1600380754708,44
2DSA_arch__512_256_128__scaler_robust_opt_rmsprop_batch_64_act_relu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,rmsprop,64,relu,0.3,322.4750176173399,48.88600299271133,190.17376712218487,175012.666015625,16205.97509765625,150387.66015625,1705.8450910120266,140.41150472400284,1328.0455635958506,27
2DSA_arch__512_256_128__scaler_robust_opt_sgd_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,sgd,16,elu,0.3,381.47554051742407,49.040048907047364,162.7513576519828,175911.53271484375,11524.25390625,29320.57421875,2513.322775230093,149.08538977493194,744.2603119216262,76
