config_name,architecture,scaler,optimizer,batch_size,activation,dropout_rate,train_mae,val_mae,test_mae,train_max_error,val_max_error,test_max_error,train_error_std,val_error_std,test_error_std,epochs
2DSA_arch__512_256_128__scaler_minmax_opt_rmsprop_batch_64_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,rmsprop,64,relu,0.2,338.9719555244626,97.18120326644136,181.2993341297309,172933.953125,17288.574798583984,141747.203125,1707.0698261861874,167.14480389681438,1173.331122312302,29
2DSA_arch__512_256_128__scaler_minmax_opt_sgd_batch_16_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,sgd,16,elu,0.2,355.94595592353414,53.400095252631246,172.32056267132597,171699.23681640625,15616.908935546877,129704.943359375,1725.4168285602184,139.56773037448235,1104.367560418285,29
2DSA_arch__512_256_128__scaler_robust_opt_rmsprop_batch_16_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,rmsprop,16,elu,0.2,370.0422596821468,66.54640255681119,195.95366321602884,176461.0809326172,17289.07928466797,150263.25390625,1798.555673495693,146.05068018495956,1356.1669490291258,28
2DSA_arch__512_256_128__scaler_minmax_opt_rmsprop_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,rmsprop,32,elu,0.3,353.928489686598,74.12891892621006,191.5487662812052,176021.2216796875,17080.67138671875,155056.8642578125,1774.0993075163988,149.84875951575845,1389.927346313979,26
2DSA_arch__512_256_128__scaler_minmax_opt_sgd_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,sgd,32,elu,0.3,348.3311361154384,50.77466068380992,181.9685769514504,172941.162109375,17315.12631225586,145052.923828125,1715.399163162771,157.3265808398221,1123.7314965748062,29
2DSA_arch__512_256_128__scaler_robust_opt_adam_batch_32_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,adam,32,elu,0.3,352.3191367466995,62.97417201383404,177.47217365723438,174114.86206054688,16741.409606933594,136795.8203125,1729.8790081267452,142.7962227398849,1198.9640062674816,37
2DSA_arch__512_256_128__scaler_robust_opt_rmsprop_batch_64_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,rmsprop,64,elu,0.2,346.9639585828727,73.37052944485801,182.6236547163823,175016.27075195312,17310.477661132812,151052.29443359375,1750.332662341816,148.9865802297586,1312.186438280203,29
2DSA_arch__512_256_128__scaler_minmax_opt_adam_batch_16_act_relu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,adam,16,relu,0.2,572.8959933664206,77.67619911628995,215.03866009869904,328677.03125,23826.283203125,112506.59375,5761.32785761162,289.17997738324004,1214.977453929186,42
2DSA_arch__512_256_128__scaler_minmax_opt_sgd_batch_32_act_elu_drop_0.2_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",minmax,sgd,32,elu,0.2,353.4133747265,60.02691672071724,192.71627467831703,175211.63989257812,16772.90087890625,153242.3466796875,1760.9746624807133,146.14557542261664,1368.251424998707,26
2DSA_arch__512_256_128__scaler_robust_opt_adam_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,adam,16,elu,0.3,360.8239676424242,61.27665514150192,182.7942718430637,174055.7177734375,16997.895751953125,121934.1796875,1752.3479074999416,148.96550738041682,1095.0717562862876,43
2DSA_arch__512_256_128__scaler_robust_opt_sgd_batch_16_act_elu_drop_0.3_training_0.7_validation_0.15_epochs_100,"[512, 256, 128]",robust,sgd,16,elu,0.3,383.5290431646052,58.34010789221157,180.59519716786545,176357.19787597656,15082.27197265625,118715.890625,1856.3137044434097,142.39732147850785,1193.8583572512332,47
