Method,max |z| bin,median_abs_error,p90_abs_error,count
2DSA,<=1,14.5,14.9,915
2DSA,"(1,2]",29.4,102.4,6657
2DSA,"(2,3]",338.5,2113.8,4250
2DSA,>3,46.8,370.0,30691
GA,<=1,5256.1,12401.8,368
GA,"(1,2]",6611.0,19365.8,798
GA,"(2,3]",5926.6,37455.7,717
GA,>3,16669.0,93592.6,455
PCSA,<=1,,,0
PCSA,"(1,2]",91.3,238.5,5141
PCSA,"(2,3]",306.8,1168.5,590
PCSA,>3,509.7,1683.7,650
