month,n_total,n_accepted,accepted_fraction,accepted_pct,p95_residual_accepted,median_z,p90_z,accepted_small_sample
2024-10,1472,288,0.1956521739130435,19.565217391304348,4543.8038449999995,1.7949378349285856,2.3523672762077092,False
2024-11,2587,647,0.2500966370313104,25.00966370313104,1085.1489279999992,1.5990335897195598,2.3523672762077092,False
2024-12,12737,1092,0.08573447436602026,8.573447436602025,948.0392117000004,1.5990335897195598,2.3523672762077092,False
2025-01,5600,527,0.09410714285714286,9.410714285714286,962.18431,1.921822899152936,2.664668810308058,False
2025-02,13157,3153,0.23964429581211522,23.964429581211522,993.8550039999985,1.5990335897195598,2.3443744969680176,False
2025-03,547,289,0.5283363802559415,52.833638025594155,4148.439259999999,2.277255131507615,2.664668810308058,False
2025-04,1198,1061,0.8856427378964942,88.56427378964942,1737.51605,1.8015325461159488,2.3523672762077092,False
2025-05,749,686,0.9158878504672897,91.58878504672897,4785.3508249999995,1.5990335897195598,2.3523672762077092,False
2025-06,1364,1171,0.8585043988269795,85.85043988269796,2339.05515,2.21163822317773,2.515116424203448,False
2025-07,991,942,0.9505549949545913,95.05549949545913,1980.1175165,2.077220297684735,2.3523672762077092,False
2025-08,1206,1189,0.9859038142620232,98.59038142620233,1747.8460939999957,1.5990335897195598,2.3523672762077092,False
2025-09,649,598,0.9214175654853621,92.14175654853621,1017.0816529999998,1.5990335897195598,2.3523672762077092,False
2025-10,256,179,0.69921875,69.921875,890.8776659999999,1.5990335897195598,2.3523672762077092,False
