method,z_gate,alpha,accepted_fraction_test,accepted_pct_test,sufficiency_rate_test,calib_buffer_p95,test_required_buffer_p95,buffer_inflation_factor
2DSA,3.0,0.95,0.2780796462258603,27.807964622586027,0.8393672813398748,398.4047645568844,1594.4303069999974,4.002036242647254
GA,3.0,0.95,0.8053892215568862,80.53892215568862,0.9702602230483272,31629.20556640625,19184.071699999946,0.6065303050284504
PCSA,3.0,0.95,0.8981350885441154,89.81350885441154,0.9500959692898272,549.0800048828125,547.18653,0.9965515501093202
